prodi pilihan 1,prodi pilihan 2,prodi pilihan 3
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sumatera Utara Medan - Hukum Pidana Islam (Jinayah),UIN Sumatera Utara Medan - Pendidikan Agama Islam
UIN Sumatera Utara Medan - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Gunung Djati Bandung  - Hukum Ekonomi Syari'ah (Muamalah)
UIN Sunan Gunung Djati Bandung  - Manajemen Keuangan Syariah,UIN Sumatera Utara Medan - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Maulana Malik Ibrahim Malang  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sumatera Utara Medan - Hukum Tata Negara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sumatera Utara Medan - Hukum Tata Negara (Siyasah),UIN Sumatera Utara Medan - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sunan Ampel Surabaya  - Pendidikan Guru Madrasah Ibtidaiyah,UIN Raden Fatah Palembang - Pendidikan Guru Madrasah Ibtidaiyah
UIN Sumatera Utara Medan - Perbankan Syari'ah,UIN Ar-Raniry Banda Aceh - Hukum Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sumatera Utara Medan - Pendidikan Guru Madrasah Ibtidaiyah
UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama
UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sunan Gunung Djati Bandung  - Bahasa dan Sastra Arab,UIN Sumatera Utara Medan - Pendidikan Bahasa Arab
UIN Sumatera Utara Medan - Bimbingan Konseling Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sultan Syarif Kasim Riau  - Tadris Ilmu Pengetahuan Sosial
UIN Sumatera Utara Medan - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Imam Bonjol Padang - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sumatera Utara Medan - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sunan Gunung Djati Bandung  - Pendidikan Agama Islam
UIN Sumatera Utara Medan - Pengembangan Masyarakat Islam,UIN Sumatera Utara Medan - Bimbingan dan Penyuluhan Islam,UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sumatera Utara Medan - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah)
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Sumatera Utara Medan - Hukum Ekonomi Syari'ah (Muamalah)
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Ar-Raniry Banda Aceh - Pendidikan Bahasa Arab,UIN Sumatera Utara Medan - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Ar-Raniry Banda Aceh - Hukum Tata Negara,UIN Maulana Malik Ibrahim Malang  - Perbankan Syari'ah
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Ar-Raniry Banda Aceh - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sunan Gunung Djati Bandung  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Ar-Raniry Banda Aceh - Pendidikan Agama Islam
