prodi pilihan 1,prodi pilihan 2,prodi pilihan 3
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sumatera Utara Medan - Ilmu Al-Qur'an dan Tafsir
UIN Sunan Gunung Djati Bandung  - Manajemen Keuangan Syariah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sumatera Utara Medan - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Sunan Gunung Djati Bandung  - Bimbingan dan Konseling Islam,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sumatera Utara Medan - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sumatera Utara Medan - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sumatera Utara Medan - Bimbingan Konseling Pendidikan Islam
UIN Sumatera Utara Medan - Al-Ahwal Al-Syakhsiyyah,UIN Sunan Gunung Djati Bandung  - Manajemen Keuangan Syariah,UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah)
UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Ar-Raniry Banda Aceh - Komunikasi dan Penyiaran Islam
UIN Syarif Hidayatullah Jakarta - Ilmu al-Quran dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Maulana Malik Ibrahim Malang  - Ilmu Alqur'an dan Tafsir
UIN Sumatera Utara Medan - Pendidikan Agama Islam,IAIN Malikussaleh Lhokseumawe  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sumatera Utara Medan - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sumatera Utara Medan - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam
UIN Sumatera Utara Medan - Manajemen Pendidikan Islam,UIN Syarif Hidayatullah Jakarta - Pendidikan Ilmu Pengetahuan Sosial,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Sumatera Utara Medan - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sunan Gunung Djati Bandung  - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Syarif Hidayatullah Jakarta - Hukum Tata Negara (Siyasah),UIN Sumatera Utara Medan - Hukum Pidana Islam (Jinayah),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
IAIN Bukittinggi - Akuntansi Syariah,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Ar-Raniry Banda Aceh - Hukum Tata Negara
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Ar-Raniry Banda Aceh - Ilmu Al-Qur'an dan Tafsir,UIN Sulthan Thaha Saifuddin Jambi  - Ilmu Al Qur'an dan Tafsir
UIN Sultan Syarif Kasim Riau  - Hukum Tata Negara (Siyasah),UIN Syarif Hidayatullah Jakarta - Hukum Tata Negara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sumatera Utara Medan - Bimbingan Konseling Pendidikan Islam,UIN Ar-Raniry Banda Aceh - Hukum Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah)
UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam,UIN Sumatera Utara Medan - Hukum Pidana Islam (Jinayah),UIN Syarif Hidayatullah Jakarta - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,UIN Walisongo Semarang  - Pendidikan Bahasa Arab
UIN Sumatera Utara Medan - Pendidikan Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Alauddin Makasar  - Pendidikan Bahasa Inggris
UIN Sumatera Utara Medan - Bimbingan Konseling Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam,UIN Sunan Ampel Surabaya  - Hukum Ekonomi Syariah (Muamalah)
UIN Sumatera Utara Medan - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sumatera Utara Medan - Pendidikan Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam,UIN Syarif Hidayatullah Jakarta - Pengembangan Masyarakat Islam,UIN Ar-Raniry Banda Aceh - Pengembangan Masyarakat Islam
UIN Sumatera Utara Medan - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam,UIN Imam Bonjol Padang - Manajemen Bisnis Syariah
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Ar-Raniry Banda Aceh - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sumatera Utara Medan - Hukum Tata Negara (Siyasah),UIN Ar-Raniry Banda Aceh - Hukum Tata Negara,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sumatera Utara Medan - Sejarah Peradaban Islam,UIN Sumatera Utara Medan - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam
UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Ar-Raniry Banda Aceh - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sumatera Utara Medan - Perbankan Syari'ah,UIN Maulana Malik Ibrahim Malang  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Islam Anak Usia Dini
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Sumatera Utara Medan - Pendidikan Agama Islam
UIN Sumatera Utara Medan - Pendidikan Guru Madrasah Ibtidaiyah,UIN Maulana Malik Ibrahim Malang  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sumatera Utara Medan - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sumatera Utara Medan - Bimbingan Konseling Pendidikan Islam
UIN Syarif Hidayatullah Jakarta - Ekonomi Syariah,UIN Sunan Gunung Djati Bandung  - Manajemen Haji dan Umrah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Gunung Djati Bandung  - Komunikasi dan Penyiaran Islam,UIN Syarif Hidayatullah Jakarta - Komunikasi Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Hukum Pidana Islam (Jinayah)
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Ilmu Hadis,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Sumatera Utara Medan - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sunan Gunung Djati Bandung  - Bahasa dan Sastra Arab
UIN Sumatera Utara Medan - Akuntansi Syari'ah,UIN Sultan Syarif Kasim Riau  - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Ilmu Al-Qur'an dan Tafsir
UIN Sunan Gunung Djati Bandung  - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sunan Ampel Surabaya  - Bahasa dan Sastra Arab
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Maulana Malik Ibrahim Malang  - Hukum Keluarga Islam (Ahwal Syakhshiyyah),UIN Walisongo Semarang  - Hukum Keluarga Islam (al-Ahwal al-Syakhsiyyah)
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Maulana Malik Ibrahim Malang  - Hukum Ekonomi Syari'ah,UIN Sumatera Utara Medan - Perbandingan Mazhab
UIN Sumatera Utara Medan - Pendidikan Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Gunung Djati Bandung  - Ilmu Hadits
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sumatera Utara Medan - Perbankan Syari'ah,UIN Sumatera Utara Medan - Akuntansi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,IAIN Zawiyah Cot Kala Langsa  - Perbankan Syariah,UIN Sumatera Utara Medan - Pendidikan Agama Islam
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Sumatera Utara Medan - Ilmu Al-Qur'an dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Pendidikan Bahasa Inggris
UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,IAIN Bukittinggi - Pendidikan Agama Islam
UIN Sumatera Utara Medan - Hukum Tata Negara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sumatera Utara Medan - Hukum Pidana Islam (Jinayah)
UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Gunung Djati Bandung  - Manajemen Pendidikan Islam
UIN Sumatera Utara Medan - Akuntansi Syari'ah,UIN Sumatera Utara Medan - Ekonomi Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Gunung Djati Bandung  - Akuntansi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Perbandingan Madzhab
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Ar-Raniry Banda Aceh - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sumatera Utara Medan - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Gunung Djati Bandung  - Akuntansi Syari'ah
UIN Syarif Hidayatullah Jakarta - Hukum Pidana Islam (Jinayah),UIN Sumatera Utara Medan - Hukum Pidana Islam (Jinayah),UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sunan Gunung Djati Bandung  - Bimbingan dan Konseling Islam,UIN Sunan Ampel Surabaya  - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Gunung Djati Bandung  - Akuntansi Syari'ah,UIN Ar-Raniry Banda Aceh - Hukum Pidana Islam
UIN Syarif Hidayatullah Jakarta - Hukum Tata Negara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Ampel Surabaya  - Hukum Tata Negara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Maulana Malik Ibrahim Malang  - Hukum Tata Negara (Siyasah),UIN Imam Bonjol Padang - Psikologi Islam
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sumatera Utara Medan - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Perbandingan Madzhab
UIN Maulana Malik Ibrahim Malang  - Tadris Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,UIN Sumatera Utara Medan - Manajemen Pendidikan Islam,UIN Ar-Raniry Banda Aceh - Manajemen Pendidikan Islam
UIN Sumatera Utara Medan - Pendidikan Guru Madrasah Ibtidaiyah,UIN Ar-Raniry Banda Aceh - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sumatera Utara Medan - Akuntansi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam
UIN Sunan Kalijaga Yogyakarta  - Studi Agama-Agama,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Perbandingan Madzhab
UIN Sumatera Utara Medan - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sumatera Utara Medan - Pendidikan Islam Anak Usia Dini,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,IAIN Malikussaleh Lhokseumawe  - Hukum Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah
UIN Sunan Gunung Djati Bandung  - Manajemen Haji dan Umrah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sumatera Utara Medan - Asuransi Syari'ah
UIN Sunan Gunung Djati Bandung  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,UIN Sumatera Utara Medan - Sosiologi Agama
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Syarif Hidayatullah Jakarta - Ekonomi Syariah,UIN Sumatera Utara Medan - Ekonomi Islam
UIN Syarif Hidayatullah Jakarta - Ilmu al-Quran dan Tafsir,UIN Ar-Raniry Banda Aceh - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir
UIN Maulana Malik Ibrahim Malang  - Ilmu Alqur'an dan Tafsir,UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir
UIN Sumatera Utara Medan - Hukum Ekonomi Syari'ah (Muamalah),UIN Sumatera Utara Medan - Ekonomi Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Gunung Djati Bandung  - Hukum Tatanegara (Siyasah),UIN Syarif Hidayatullah Jakarta - Hukum Tata Negara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Imam Bonjol Padang - Ilmu Al-Qur'an dan Tafsir ,UIN Sumatera Utara Medan - Ilmu Al-Qur'an dan Tafsir
UIN Maulana Malik Ibrahim Malang  - Bahasa dan Sastra Arab,UIN Ar-Raniry Banda Aceh - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Ar-Raniry Banda Aceh - Hukum Ekonomi Syari'ah,UIN Sumatera Utara Medan - Akuntansi Syari'ah
UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sumatera Utara Medan - Hukum Pidana Islam (Jinayah),UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sumatera Utara Medan - Manajemen Dakwah,UIN Ar-Raniry Banda Aceh - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah
UIN Sumatera Utara Medan - Hukum Tata Negara (Siyasah),UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sumatera Utara Medan - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sumatera Utara Medan - Hukum Ekonomi Syari'ah (Muamalah),UIN Ar-Raniry Banda Aceh - Komunikasi dan Penyiaran Islam
UIN Sultan Syarif Kasim Riau  - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Sunan Gunung Djati Bandung  - Manajemen Pendidikan Islam
UIN Sumatera Utara Medan - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Imam Bonjol Padang - Manajemen Bisnis Syariah
UIN Syarif Hidayatullah Jakarta - Komunikasi Penyiaran Islam,UIN Sunan Gunung Djati Bandung  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Gunung Djati Bandung  - Hukum Tatanegara (Siyasah),UIN Sumatera Utara Medan - Ilmu Al-Qur'an dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Gunung Djati Bandung  - Komunikasi dan Penyiaran Islam
UIN Ar-Raniry Banda Aceh - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sunan Gunung Djati Bandung  - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Walisongo Semarang  - Perbankan Syariah,IAIN Salatiga  - Perbankan Syariah
UIN Sumatera Utara Medan - Hukum Ekonomi Syari'ah (Muamalah),UIN Sultan Syarif Kasim Riau  - Ilmu Al-Quran dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah)
UIN Ar-Raniry Banda Aceh - Pendidikan Bahasa Inggris,UIN Ar-Raniry Banda Aceh - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Ar-Raniry Banda Aceh - Pengembangan Masyarakat Islam,UIN Sunan Gunung Djati Bandung  - Hukum Tatanegara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Syarif Hidayatullah Jakarta - Pendidikan Agama Islam,UIN Walisongo Semarang  - Pendidikan Guru Madrasah Ibtidaiyah
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),IAIN Surakarta - Hukum Keluarga Islam,UIN Sumatera Utara Medan - Al-Ahwal Al-Syakhsiyyah
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Gunung Djati Bandung  - Hukum Tatanegara (Siyasah),UIN Sumatera Utara Medan - Hukum Tata Negara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam,UIN Sunan Gunung Djati Bandung  - Komunikasi dan Penyiaran Islam,UIN Maulana Malik Ibrahim Malang  - Perbankan Syari'ah
UIN Sumatera Utara Medan - Ekonomi Islam,UIN Sumatera Utara Medan - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Ar-Raniry Banda Aceh - Manajemen Pendidikan Islam,UIN Sumatera Utara Medan - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Imam Bonjol Padang - Pendidikan Agama Islam
UIN Sultan Syarif Kasim Riau  - Hukum Keluarga (Akhwal Syaksiyah),UIN Sultan Syarif Kasim Riau  - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Gunung Djati Bandung  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Bimbingan Konseling Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Gunung Djati Bandung  - Hukum Pidana Islam,UIN Sumatera Utara Medan - Perbankan Syari'ah
UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Perbankan Syari'ah
UIN Ar-Raniry Banda Aceh - Ilmu Al-Qur'an dan Tafsir,UIN Ar-Raniry Banda Aceh - Sejarah dan Kebudayaan Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sultan Syarif Kasim Riau  - Ekonomi Syariah,UIN Ar-Raniry Banda Aceh - Hukum Ekonomi Syari'ah
UIN Sumatera Utara Medan - Perbandingan Mazhab,UIN Sunan Gunung Djati Bandung  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sumatera Utara Medan - Ilmu Al-Qur'an dan Tafsir,UIN Sumatera Utara Medan - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Gunung Djati Bandung  - Hukum Ekonomi Syari'ah (Muamalah),UIN Sumatera Utara Medan - Pemikiran Politik Islam
UIN Sumatera Utara Medan - Manajemen Pendidikan Islam,UIN Sumatera Utara Medan - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Sumatera Utara Medan - Ekonomi Islam,UIN Sumatera Utara Medan - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sumatera Utara Medan - Hukum Pidana Islam (Jinayah),UIN Sumatera Utara Medan - Hukum Tata Negara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Gunung Djati Bandung  - Akuntansi Syari'ah
UIN Sumatera Utara Medan - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Syarif Hidayatullah Jakarta - Pendidikan Bahasa Inggris
UIN Sumatera Utara Medan - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Syarif Hidayatullah Jakarta - Manajemen Pendidikan
UIN Syarif Hidayatullah Jakarta - Ilmu al-Quran dan Tafsir,UIN Maulana Malik Ibrahim Malang  - Ilmu Alqur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Ilmu Hadis
UIN Sumatera Utara Medan - Akuntansi Syari'ah,UIN Sumatera Utara Medan - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sumatera Utara Medan - Pendidikan Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,IAIN Purwokerto  - Komunikasi Penyiaran Islam,UIN Sunan Gunung Djati Bandung  - Pendidikan Agama Islam
UIN Ar-Raniry Banda Aceh - Bimbingan dan Konseling Islam,UIN Ar-Raniry Banda Aceh - Hukum Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Sunan Gunung Djati Bandung  - Manajemen Pendidikan Islam,UIN Sumatera Utara Medan - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Walisongo Semarang  - Manajemen Pendidikan Islam,UIN Sumatera Utara Medan - Sosiologi Agama
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sumatera Utara Medan - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Perbandingan Madzhab,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,UIN Sultan Syarif Kasim Riau  - Manajemen Dakwah,UIN Sumatera Utara Medan - Manajemen Dakwah
UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sunan Ampel Surabaya  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
